	Time	Field	Moment	Temerature	dMoment	Kramer	Jc	Fp	Km	Hnorm	Fpnorm
882	441265.0	2.4136	-0.08723808	4.167	0.17078844	0.51510476	0.03595546105263158	0.0867821007966316	0.23634627142541462	0.5733561383504372	0.9357137253890303
883	441767.0	2.4186	-0.0871134	4.167	0.1705406	0.51499725	0.03590328421052631	0.08683568319157894	0.23629694162177178	0.5745438996579247	0.9362914687477553
884	442267.0	2.4236	-0.08697305	4.167	0.1702609	0.51484049	0.0358444	0.08687248784	0.23622501950245595	0.5757316609654124	0.9366883088146534
885	442767.0	2.4287	-0.0868327	4.168	0.16999284	0.51470548	0.035787966315789475	0.0869182337911579	0.23616306585086497	0.5769431774990498	0.9371815570073854
886	443267.0	2.4336	-0.08669781	4.169	0.16975451	0.51460376	0.03573779157894737	0.08697148958652633	0.23611640108886528	0.5781071835803877	0.9377557788598792
887	443767.0	2.4386	-0.08655746	4.169	0.16949673	0.51447681	0.03568352210526316	0.08701783700589474	0.23605815019443852	0.5792949448878754	0.938255512284644
888	444267.0	2.4437	-0.08639599	4.17	0.16920783	0.51430673	0.03562270105263158	0.0870511945623158	0.2359801078878699	0.5805064614215127	0.9386151846491305
889	444767.0	2.4487	-0.08625019	4.17	0.16893632	0.51415659	0.03556554105263158	0.08708934037557894	0.23591122474673284	0.5816942227290004	0.9390264856053046
890	445267.0	2.4536	-0.08611052	4.17	0.16868513	0.51403104	0.035512658947368415	0.08713385999326313	0.235853614360018	0.5828582288103382	0.9395065110590993
891	445767.0	2.4586	-0.08597017	4.17	0.16844038	0.51391947	0.03546113263157895	0.087184740688	0.2358024270007295	0.584045990117826	0.9400551237797592
892	446267.0	2.4637	-0.0858087	4.17	0.16812941	0.51371092	0.0353956652631579	0.0872043005088421	0.23570673687989582	0.5852575066514633	0.9402660243302194
893	446767.0	2.4687	-0.08564723	4.17	0.16781591	0.51349195	0.035329665263157894	0.0872183446351579	0.23560626825957737	0.586445267958951	0.9404174528118321
894	447267.0	2.4736	-0.08549189	4.17	0.16752459	0.51330045	0.03526833473684211	0.08723975280505263	0.23551840153358386	0.5876092740402888	0.9406482828818818
895	447768.0	2.4786	-0.08536721	4.17	0.16728166	0.51318716	0.03521719157894737	0.08728933104757895	0.2354664147844999	0.5887970353477765	0.9411828521258468
896	448269.0	2.4837	-0.0852473	4.17	0.16702388	0.51305517	0.03516292210526316	0.0873341496328421	0.23540585675478568	0.5900085518814139	0.9416661011483788
897	448770.0	2.4887	-0.08513761	4.171	0.16677686	0.51293347	0.03511091789473684	0.08738054136463158	0.23535001405265432	0.5911963131889015	0.942166312364534
898	449270.0	2.4936	-0.0850286	4.171	0.16653573	0.51281463	0.035060153684210525	0.08742599922694735	0.23529549113017642	0.5923603192702394	0.942656454286719
899	449770.0	2.4986	-0.08489847	4.171	0.16627265	0.51266608	0.03500476842105263	0.0874629143768421	0.23522733503315593	0.5935480805777271	0.9430544858175788
900	450271.0	2.5037	-0.08475335	4.171	0.16599014	0.51249156	0.03494529263157895	0.08749252916168422	0.23514725487872398	0.5947595971113645	0.9433738023632354
