4.2K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
11:27 AM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.1mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 75.0
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
149615.00000000	-0.50280000	-0.18804305	4.18700000	0.40523239	0.53604456
150116.00000000	-0.49790000	-0.18972725	4.18800000	0.40732963	0.53611571
150616.00000000	-0.49290000	-0.19143188	4.18800000	0.40939457	0.53611844
151117.00000000	-0.48780000	-0.18633774	4.18800000	0.40469194	0.53164621
151617.00000000	-0.48280000	-0.17687778	4.18800000	0.39566905	0.52433380
152118.00000000	-0.47790000	-0.17384187	4.18900000	0.39306962	0.52127752
152618.00000000	-0.47270000	-0.17506890	4.18900000	0.39475405	0.52096638
153118.00000000	-0.46780000	-0.17766809	4.18900000	0.39778961	0.52160503
153619.00000000	-0.46280000	-0.18045396	4.18900000	0.40101169	0.52230821
154120.00000000	-0.45770000	-0.18311515	4.18900000	0.40410510	0.52286840
154620.00000000	-0.45270000	-0.18558966	4.19000000	0.40699921	0.52329840
155120.00000000	-0.44780000	-0.18791837	4.19000000	0.40972985	0.52362434
155620.00000000	-0.44280000	-0.19012240	4.19000000	0.41232362	0.52380666
156120.00000000	-0.43790000	-0.19220107	4.19000000	0.41483697	0.52394109
156620.00000000	-0.43270000	-0.19057956	4.19000000	0.41362515	0.52161514
157120.00000000	-0.42780000	-0.18583902	4.19000000	0.40926458	0.51738314
157621.00000000	-0.42280000	-0.18504870	4.19000000	0.40886888	0.51561527
158121.00000000	-0.41790000	-0.18685758	4.19000000	0.41105172	0.51548535
